City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fortuna,40.5982,-124.1573,295.33,71,20,6.17,US,1691006396
1,adamstown,-25.066,-130.1015,294.13,66,100,7.68,PN,1691006396
2,iqaluit,63.7506,-68.5145,285.0,66,20,2.57,CA,1691006396
3,huesca,42.1362,-0.4087,302.53,51,0,4.02,ES,1691006397
4,tiksi,71.6872,128.8694,277.97,96,100,3.67,RU,1691006397
5,solleftea,63.1667,17.2667,290.07,92,98,3.99,SE,1691006398
6,puerto natales,-51.7236,-72.4875,276.59,87,100,8.93,CL,1691006398
7,waitangi,-43.9535,-176.5597,279.72,93,65,5.36,NZ,1691006398
8,uturoa,-16.7333,-151.4333,299.26,70,89,6.7,PF,1691006399
9,mount pearl,47.5166,-52.7813,293.96,79,100,6.69,CA,1691006285
10,arar,30.9753,41.0381,309.16,10,0,4.12,SA,1691006399
11,bilibino,68.0546,166.4372,285.01,69,100,1.88,RU,1691006400
12,port augusta,-32.5,137.7667,284.56,56,72,4.36,AU,1691006283
13,avarua,-21.2078,-159.775,295.18,88,75,4.63,CK,1691006401
14,whitehorse,60.7161,-135.0538,290.58,67,20,1.54,CA,1691006403
15,amos,48.5669,-78.1162,289.85,79,100,4.72,CA,1691006173
16,punta arenas,-53.15,-70.9167,273.77,86,92,10.47,CL,1691006140
17,hamilton,39.1834,-84.5333,304.2,50,0,3.6,US,1691006292
18,hauterive,46.0901,3.4459,294.57,59,38,7.15,FR,1691006412
19,grytviken,-54.2811,-36.5092,273.07,98,100,3.54,GS,1691006358
20,edinburgh of the seven seas,-37.0676,-12.3116,285.18,68,100,8.01,SH,1691006413
21,la'ie,21.6477,-157.9253,302.13,70,5,1.34,US,1691006414
22,general levalle,-34.0147,-63.9241,294.61,33,6,8.04,AR,1691006414
23,puerto ayora,-0.7393,-90.3518,303.13,86,29,2.68,EC,1691006379
24,sur,22.5667,59.5289,304.25,70,3,1.6,OM,1691006415
25,ancud,-41.8697,-73.8203,281.03,52,38,5.08,CL,1691006416
26,margaret river,-33.95,115.0667,282.86,70,100,8.3,AU,1691006417
27,port-aux-francais,-49.35,70.2167,274.91,68,100,17.44,TF,1691006417
28,camalu,30.85,-116.0667,296.33,72,0,7.25,MX,1691006418
29,porbandar,21.6422,69.6093,300.25,82,100,8.46,IN,1691006419
30,papatowai,-46.5619,169.4708,278.08,97,100,2.36,NZ,1691006420
31,kodiak,57.79,-152.4072,286.71,84,0,2.52,US,1691006420
32,petropavlovsk-kamchatsky,53.0452,158.6483,285.48,100,100,3.0,RU,1691006423
33,blackmans bay,-43.0167,147.3167,281.22,75,100,2.82,AU,1691006425
34,arraial do cabo,-22.9661,-42.0278,297.13,78,0,5.66,BR,1691006427
35,badger,64.8,-147.5333,297.8,56,40,0.51,US,1691006428
36,alofi,-19.0595,-169.9187,294.09,94,100,7.2,NU,1691006430
37,hawaiian paradise park,19.5933,-154.9731,300.22,83,7,0.45,US,1691006432
38,bethel,41.3712,-73.414,299.55,48,56,0.89,US,1691006391
39,lebu,-37.6167,-73.65,283.66,71,68,12.84,CL,1691006435
40,nuku'alofa,-21.1333,-175.2,294.34,88,75,5.14,TO,1691006318
41,invercargill,-46.4,168.35,279.27,97,100,1.34,NZ,1691006436
42,wailua homesteads,22.0669,-159.378,299.39,81,29,3.13,US,1691006437
43,hithadhoo,-0.6,73.0833,299.98,74,100,0.71,MV,1691006437
44,ushuaia,-54.8,-68.3,272.96,86,75,7.72,AR,1691006438
45,fort bragg,35.139,-79.006,303.66,44,20,2.06,US,1691006439
46,serdar,38.9764,56.2757,308.55,19,0,6.86,TM,1691006439
47,mount gambier,-37.8333,140.7667,284.26,61,37,4.69,AU,1691006440
48,rengasdengklok,-6.1592,107.2981,297.75,91,11,3.2,ID,1691006440
49,cabo san lucas,22.8909,-109.9124,308.25,69,90,4.92,MX,1691006344
50,lyantor,61.6195,72.1555,291.54,92,23,4.99,RU,1691006441
51,keflavik,64.0049,-22.5624,287.1,76,40,10.29,IS,1691006441
52,vilyuchinsk,52.9306,158.4028,286.3,99,100,0.86,RU,1691006442
53,coxim,-18.5067,-54.76,308.83,15,0,1.94,BR,1691006239
54,alva,56.1528,-3.8051,288.85,84,63,1.01,GB,1691006442
55,glace bay,46.1969,-59.957,297.22,62,75,3.09,CA,1691006443
56,thompson,55.7435,-97.8558,294.24,73,75,4.63,CA,1691006241
57,enewetak,11.3474,162.3373,301.61,77,39,6.3,MH,1691006443
58,klyuchi,52.2667,79.1667,295.18,54,82,3.53,RU,1691006444
59,albany,42.6001,-73.9662,298.95,50,72,0.45,US,1691006228
